"lat","long","address"
45.769383,4.842364,"Place Maréchal Lyautey, Les Brotteaux, Lyon 6e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69006, France"
45.773468,4.800286,"Bourbonnais, Rue du Bourbonnais, Vaise, Lyon 9e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69009, France"
45.746163,4.82548,"Cours Suchet, Perrache, Lyon 2e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69002, France"
45.763065,4.83425,"2, Place Francisque Régaud, Cordeliers, Lyon 2e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69002, France"
45.760042,4.861734,"Place de la Vilette, La Villette, Lyon 3e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69003, France"
45.767057,4.827014,"Place Gerson, Saint-Paul, Lyon 5e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69005, France"
45.750116,4.82801,"Place Carnot, Ainay, Lyon 2e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69002, France"
45.742932,4.90863,"Bron - Centre nautique, Rue de la Marne, Bron, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69500, France"
45.737503,4.837484,"Jean Jaurès, Rue Marie-Madeleine Fourcade, Les Girondins, Gerland, Lyon 7e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69007, France"
45.737745,4.824495,"Parc des Berges, Avenue Leclerc, Les Girondins, Gerland, Lyon 7e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69007, France"
45.762055,4.868486,"3011, Rue Baraban, La Villette, Lyon 3e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69003, France"
45.774061,4.82516,"Tabareau, Rue Tabareau, La Croix-Rousse, Lyon 4e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69004, France"
45.7548502313005,4.85748756866509,"Place Danton, La Buire, Lyon 3e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69003, France"
45.763717,4.843791,"64, Rue Pierre Corneille, Les Brotteaux, Lyon 6e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69006, France"
45.770136,4.80516,"6, Rue Gorge de Loup, Gorge de Loup, Lyon 9e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69009, France"
45.760912,4.845291,"6, Rue Dunoir, Préfecture, Lyon 3e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69003, France"
45.801192,4.825451,"Berlioz / Chalinel, Rue Hector Berlioz, Grand Champ, Saint-Rambert, Lyon 9e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69009, France"
45.759743,4.889938,"Cours Tolstoï, Grandclément, Villeurbanne, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69100, France"
45.742639,4.850538,"41, Route de Vienne, Jean-Macé, Lyon 7e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69007, France"
45.766372,4.865058,"Charmettes / Bellecombe, Rue de la Viabert, Bellecombe, Lyon 6e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69006, France"
45.745828,4.870631,"Cours Albert Thomas, Sans Souci, Lyon 3e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69003, France"
45.753528,4.857784,"92, Avenue Félix Faure, La Buire, Lyon 3e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69003, France"
45.731361,4.860139,"73, Rue Paul Cazeneuve, La Petite-Guille, Lyon 8e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69008, France"
45.770508,4.800869,"Masset / Saint-Pierre de Vaise, Avenue Joannès Masset, Gorge de Loup, Lyon 9e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69009, France"
45.832495,4.848795,"Rue Victor Hugo, Fontaines-sur-Saône, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69270, France"
45.772277,4.865774,"Rue Gabriel Péri, Charpennes, Villeurbanne, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69100, France"
45.773358,4.821234,"Rue Anselme, La Croix-Rousse, Lyon 4e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69004, France"
45.764062,4.865802,"90, Rue d'Inkermann, Bellecombe, Lyon 6e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69006, France"
45.759494,4.830161,"Place Antonin Gourju, Rue du Colonel Chambonnet, Bellecour, Lyon 2e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69002, France"
45.777521,4.844922,"6, Place Général Leclerc, Les Brotteaux, Lyon 6e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69006, France"
45.764821,4.841567,"Préfecture / Sarrail, Quai Général Sarrail, Les Brotteaux, Lyon 6e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69006, France"
45.74222,4.860219,"Hôtel de police de Lyon, Rue de l'Éternité, Audibert-Lavirotte, Lyon 8e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69008, France"
45.749431,4.834816,"VL1, Chevreul, Lyon 7e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69007, France"
45.752074,4.91466,"Place de la Paix, Les Brosses, Villeurbanne, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69100, France"
45.746681,4.844455,"Domer / Chevreul, Rue Domer, Jean-Macé, Lyon 7e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69007, France"
45.741922,4.894068,"Centre hospitalier Le Vinatier, Avenue Franklin Roosevelt, Le Vinatier, Bron, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69500, France"
45.727881,4.86355,"Beauvisage / Préssensé, Rue du Professeur Beauvisage, Beauvisage, Lyon 8e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69008, France"
45.740492,4.888084,"Bioparc, Avenue Rockefeller, Grange Blanche, Lyon 3e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69003, France"
45.7620452080746,4.82872732991442,"Place Paul Duquaire, Saint-Jean, Lyon 5e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69005, France"
45.765214,4.909808,"Bonnevay, Villeurbanne, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69100, France"
45.776217,4.862636,"Tonkin, Avenue Salvador Allende, Tonkin, Villeurbanne, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69100, France"
45.768223,4.827533,"46, Quai Saint-Vincent, Terreaux, Lyon 1er Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69001, France"
45.791621,4.808426,"Saint-Didier - Pasteur / Saint-Cyr, Rue de Saint-Cyr, La Dargoire, Saint-Rambert, Lyon 9e Arrondissement, Saint-Didier-au-Mont-d'Or, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69370, France"
45.771034,4.79644,"Piscine de Vaise, Avenue Sidoine Apollinaire, Gorge de Loup, Lyon 9e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69009, France"
45.764345,4.853492,"Récamier / Tête d'Or, Rue Juliette Récamier, Les Brotteaux, Lyon 6e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69006, France"
45.761825,4.886156,"46, Cours Docteur Jean Damidot, Grandclément, Villeurbanne, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69100, France"
45.758974,4.853599,"Place du Lac, Rue du Docteur Bouchut, Part-Dieu, Lyon 3e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69003, France"
45.766284,4.856848,"44, Boulevard des Brotteaux, Les Brotteaux, Lyon 6e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69006, France"
45.753452,4.804401,"2, Rue du Docteur Albéric Pont, Point du Jour, Lyon 5e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69005, France"
45.743569,4.870083,"Lumière / Trouilhet, Rue Antoine Lumière, Monplaisir, Lyon 8e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69008, France"
45.797415,4.829038,"L'île Barbe, Quai Paul Sédallian, La Sauvagère, Saint-Rambert, Lyon 9e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69009, France"
45.790414,4.816359,"Mangini, Rue Félix Mangini, L’Industrie, Vaise, Lyon 9e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69009, France"
45.781699,4.820596,"94, Rue Philippe de Lassalle, La Croix-Rousse, Lyon 4e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69004, France"
45.77939,4.863068,"Rossellini / 11 Novembre, Boulevard du 11 Novembre 1918, Tonkin, Villeurbanne, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69100, France"
45.766708,4.852073,"99, Rue Bugeaud, Les Brotteaux, Lyon 6e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69006, France"
45.75958,4.882739,"Mémoire et Société, Rue Valentin Hauy, Grandclément, Villeurbanne, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69100, France"
